player,salary,adj_salary,year-start,year-end
Patrick Ewing,"$4,250,000","$8,434,466",1990,1991
Hot Rod Williams,"$3,785,000","$7,511,636",1990,1991
Hakeem Olajuwon,"$3,175,000","$6,301,042",1990,1991
Charles Barkley,"$2,900,000","$5,755,283",1990,1991
Chris Mullin,"$2,850,000","$5,656,054",1990,1991
Isiah Thomas,"$2,720,000","$5,398,058",1990,1991
Danny Ferry,"$2,640,000","$5,239,292",1990,1991
Robert Parish,"$2,500,000","$4,961,451",1990,1991
Michael Jordan,"$2,500,000","$4,961,451",1990,1991
Moses Malone,"$2,406,000","$4,774,900",1990,1991
Magic Johnson,"$2,400,000","$4,762,993",1990,1991
Wayman Tisdale,"$2,330,000","$4,624,072",1990,1991
Pervis Ellison,"$2,300,000","$4,564,535",1990,1991
David Robinson,"$2,265,000","$4,495,074",1990,1991
Karl Malone,"$2,260,000","$4,485,151",1990,1991
Ralph Sampson,"$2,250,000","$4,465,306",1990,1991
Danny Manning,"$2,200,000","$4,366,076",1990,1991
Blair Rasmussen,"$2,185,000","$4,336,308",1990,1991
Chuck Person,"$2,150,000","$4,266,847",1990,1991
Derrick Coleman,"$2,100,000","$4,167,618",1990,1991
Dominique Wilkins,"$2,065,000","$4,098,158",1990,1991
Tom Chambers,"$2,060,000","$4,088,235",1990,1991
Sam Bowie,"$2,000,000","$3,969,160",1990,1991
LaSalle Thompson,"$2,000,000","$3,969,160",1990,1991
Willie Burton,"$2,000,000","$3,969,160",1990,1991
Terry Porter,"$2,000,000","$3,969,160",1990,1991
John Stockton,"$2,000,000","$3,969,160",1990,1991
Mark Eaton,"$2,000,000","$3,969,160",1990,1991
Sam Perkins,"$1,970,000","$3,909,623",1990,1991
Terry Cummings,"$1,860,000","$3,691,319",1990,1991
Sean Elliott,"$1,800,000","$3,572,244",1990,1991
Mark Jackson,"$1,785,000","$3,542,476",1990,1991
Otis Thorpe,"$1,760,000","$3,492,861",1990,1991
A.C. Green,"$1,750,000","$3,473,015",1990,1991
Benoit Benjamin,"$1,750,000","$3,473,015",1990,1991
Kevin Johnson,"$1,750,000","$3,473,015",1990,1991
Kevin Duckworth,"$1,710,000","$3,393,632",1990,1991
Alton Lister,"$1,700,000","$3,373,786",1990,1991
Gary Payton,"$1,685,000","$3,344,018",1990,1991
Mahmoud Abdul-Rauf,"$1,660,000","$3,294,403",1990,1991
Mike Gminski,"$1,650,000","$3,274,557",1990,1991
Rolando Blackman,"$1,650,000","$3,274,557",1990,1991
James Worthy,"$1,600,000","$3,175,328",1990,1991
Alec Kessler,"$1,600,000","$3,175,328",1990,1991
Jack Sikma,"$1,600,000","$3,175,328",1990,1991
Bernard King,"$1,600,000","$3,175,328",1990,1991
Dennis Scott,"$1,560,000","$3,095,945",1990,1991
Jon Koncak,"$1,550,000","$3,076,099",1990,1991
Glen Rice,"$1,550,000","$3,076,099",1990,1991
Buck Williams,"$1,550,000","$3,076,099",1990,1991
Derek Harper,"$1,519,000","$3,014,577",1990,1991
Fat Lever,"$1,519,000","$3,014,577",1990,1991
Bill Laimbeer,"$1,510,000","$2,996,716",1990,1991
Larry Bird,"$1,500,000","$2,976,870",1990,1991
Kendall Gill,"$1,500,000","$2,976,870",1990,1991
Alex English,"$1,500,000","$2,976,870",1990,1991
Danny Schayes,"$1,500,000","$2,976,870",1990,1991
Johnny Dawkins,"$1,500,000","$2,976,870",1990,1991
Kevin McHale,"$1,400,000","$2,778,412",1990,1991
Mark Price,"$1,400,000","$2,778,412",1990,1991
Vinnie Johnson,"$1,400,000","$2,778,412",1990,1991
Sleepy Floyd,"$1,400,000","$2,778,412",1990,1991
Xavier McDaniel,"$1,400,000","$2,778,412",1990,1991
Greg Anderson,"$1,365,000","$2,708,952",1990,1991
Ron Harper,"$1,365,000","$2,708,952",1990,1991
Rik Smits,"$1,350,000","$2,679,183",1990,1991
Rick Mahorn,"$1,330,000","$2,639,491",1990,1991
Brad Daugherty,"$1,320,000","$2,619,646",1990,1991
Manute Bol,"$1,300,000","$2,579,954",1990,1991
Brad Lohaus,"$1,275,000","$2,530,340",1990,1991
Sarunas Marciulionis,"$1,270,000","$2,520,417",1990,1991
Larry Nance,"$1,260,000","$2,500,571",1990,1991
Roy Hinson,"$1,250,000","$2,480,725",1990,1991
J.R. Reid,"$1,250,000","$2,480,725",1990,1991
Dale Ellis,"$1,250,000","$2,480,725",1990,1991
