player,salary,adj_salary,year_start,year_end
Patrick Ewing,4250000.0,8434466.0,1990,1991
Hot Rod Williams,3785000.0,7511636.0,1990,1991
Hakeem Olajuwon,3175000.0,6301042.0,1990,1991
Charles Barkley,2900000.0,5755283.0,1990,1991
Chris Mullin,2850000.0,5656054.0,1990,1991
Isiah Thomas,2720000.0,5398058.0,1990,1991
Danny Ferry,2640000.0,5239292.0,1990,1991
Robert Parish,2500000.0,4961451.0,1990,1991
Michael Jordan,2500000.0,4961451.0,1990,1991
Moses Malone,2406000.0,4774900.0,1990,1991
Magic Johnson,2400000.0,4762993.0,1990,1991
Wayman Tisdale,2330000.0,4624072.0,1990,1991
Pervis Ellison,2300000.0,4564535.0,1990,1991
David Robinson,2265000.0,4495074.0,1990,1991
Karl Malone,2260000.0,4485151.0,1990,1991
Ralph Sampson,2250000.0,4465306.0,1990,1991
Danny Manning,2200000.0,4366076.0,1990,1991
Blair Rasmussen,2185000.0,4336308.0,1990,1991
Chuck Person,2150000.0,4266847.0,1990,1991
Derrick Coleman,2100000.0,4167618.0,1990,1991
Dominique Wilkins,2065000.0,4098158.0,1990,1991
Tom Chambers,2060000.0,4088235.0,1990,1991
Sam Bowie,2000000.0,3969160.0,1990,1991
LaSalle Thompson,2000000.0,3969160.0,1990,1991
Willie Burton,2000000.0,3969160.0,1990,1991
Terry Porter,2000000.0,3969160.0,1990,1991
John Stockton,2000000.0,3969160.0,1990,1991
Mark Eaton,2000000.0,3969160.0,1990,1991
Sam Perkins,1970000.0,3909623.0,1990,1991
Terry Cummings,1860000.0,3691319.0,1990,1991
Sean Elliott,1800000.0,3572244.0,1990,1991
Mark Jackson,1785000.0,3542476.0,1990,1991
Otis Thorpe,1760000.0,3492861.0,1990,1991
A.C. Green,1750000.0,3473015.0,1990,1991
Benoit Benjamin,1750000.0,3473015.0,1990,1991
Kevin Johnson,1750000.0,3473015.0,1990,1991
Kevin Duckworth,1710000.0,3393632.0,1990,1991
