player,salary,adj_salary,year_start,year_end,date,inflation_rate_percent,multiplier,adj_salary_audit,audit_delta
Patrick Ewing,4250000.0,8434466.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,8418486.7145583,-15979.28544170037
Hot Rod Williams,3785000.0,7511636.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,7497405.226965451,-14230.773034549318
Hakeem Olajuwon,3175000.0,6301042.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,6289104.780875906,-11937.219124093652
Charles Barkley,2900000.0,5755283.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,5744379.169933899,-10903.830066100694
Chris Mullin,2850000.0,5656054.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,5645338.149762625,-10715.850237375125
Isiah Thomas,2720000.0,5398058.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,5387831.497317312,-10226.502682687715
Danny Ferry,2640000.0,5239292.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,5229365.865043273,-9926.134956726804
Robert Parish,2500000.0,4961451.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4952051.008563706,-9399.99143629428
Michael Jordan,2500000.0,4961451.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4952051.008563706,-9399.99143629428
Moses Malone,2406000.0,4774900.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4765853.890641711,-9046.109358289279
Magic Johnson,2400000.0,4762993.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4753968.968221158,-9024.03177884221
Wayman Tisdale,2330000.0,4624072.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4615311.539981374,-8760.460018626414
Pervis Ellison,2300000.0,4564535.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4555886.92787861,-8648.072121390142
David Robinson,2265000.0,4495074.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4486558.213758717,-8515.786241282709
Karl Malone,2260000.0,4485151.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4476654.11174159,-8496.888258409686
Ralph Sampson,2250000.0,4465306.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4456845.907707335,-8460.092292664573
Danny Manning,2200000.0,4366076.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4357804.887536061,-8271.112463939004
Blair Rasmussen,2185000.0,4336308.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4328092.581484679,-8215.418515320867
Chuck Person,2150000.0,4266847.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4258763.8673647875,-8083.132635212503
Derrick Coleman,2100000.0,4167618.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4159722.847193513,-7895.152806486934
Dominique Wilkins,2065000.0,4098158.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4090394.133073621,-7763.866926379036
Tom Chambers,2060000.0,4088235.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,4080490.0310564935,-7744.968943506479
Sam Bowie,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
LaSalle Thompson,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
Willie Burton,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
Terry Porter,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
John Stockton,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
Mark Eaton,2000000.0,3969160.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3961640.8068509647,-7519.193149035331
Sam Perkins,1970000.0,3909623.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3902216.1947482005,-7406.805251799524
Terry Cummings,1860000.0,3691319.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3684325.950371397,-6993.0496286028065
Sean Elliott,1800000.0,3572244.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3565476.7261658683,-6767.273834131658
Mark Jackson,1785000.0,3542476.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3535764.420114486,-6711.579885513987
Otis Thorpe,1760000.0,3492861.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3486243.910028849,-6617.089971151203
A.C. Green,1750000.0,3473015.0,1990,1991,1990-12-31,1.05398,1.9808204034254824,3466435.7059945944,-6579.2940054056235
